species,longitude,latitude
Chrysocyon brachyurus,-47.491164,-22.258903
Chrysocyon brachyurus,-48.173196,-21.164434
Chrysocyon brachyurus,-61.376249,-31.251473
Chrysocyon brachyurus,-48.018037,-21.706487
Chrysocyon brachyurus,-60.954692,-31.71239
Chrysocyon brachyurus,-63.743576,-31.822214
Chrysocyon brachyurus,-46.405836,-20.224191
Chrysocyon brachyurus,-60.647819,-31.339131
Chrysocyon brachyurus,-46.653302,-22.108502
Chrysocyon brachyurus,-60.736487,-28.70277
Chrysocyon brachyurus,-59.408737,-25.063712
Chrysocyon brachyurus,-43.933871,-20.213513
Chrysocyon brachyurus,-43.006098,-19.824128
Chrysocyon brachyurus,-55.625348,-15.562464
Chrysocyon brachyurus,-51.016156,-15.2235
Chrysocyon brachyurus,-56.132034,-19.471841
Chrysocyon brachyurus,-45.322208,-9.974261
Chrysocyon brachyurus,-53.758523,-32.140607
Chrysocyon brachyurus,-56.261348,-18.816034
Chrysocyon brachyurus,-66.000189,-13.79607
Chrysocyon brachyurus,-59.114616,-31.942552
Chrysocyon brachyurus,-61.56414,-31.83512
Chrysocyon brachyurus,-52.940804,-18.097723
Chrysocyon brachyurus,-56.39067,-28.83864
Chrysocyon brachyurus,-56.620387,-20.10369
Chrysocyon brachyurus,-60.99063,-32.20064
Chrysocyon brachyurus,-58.185844,-25.896529
Chrysocyon brachyurus,-58.11672,-28.0388
Chrysocyon brachyurus,-61.67999,-28.78406
Chrysocyon brachyurus,-45.762356,-14.868054
Chrysocyon brachyurus,-58.13068,-25.1379
Chrysocyon brachyurus,-59.7518,-29.50276
Chrysocyon brachyurus,-60.8,-28.25
Chrysocyon brachyurus,-54.9125,-22.245556
Chrysocyon brachyurus,-68.7,-12.517
Chrysocyon brachyurus,-46.609444,-20.719167
Chrysocyon brachyurus,-68.913,-12.955
Chrysocyon brachyurus,-66.733,-10.767
Chrysocyon brachyurus,-42.942778,-21.120278
Chrysocyon brachyurus,-43.8164733708,-21.7893308669
Chrysocyon brachyurus,-62.904255893,-30.8645830268
Chrysocyon brachyurus,-56.9215356107,-12.7064031132
Chrysocyon brachyurus,-48.0079303511,-22.1709921887
Chrysocyon brachyurus,-60.89574585,-29.3888250011
Chrysocyon brachyurus,-62.6414108006,-32.8671853366
Chrysocyon brachyurus,-53.7561005832,-16.9257660513
Chrysocyon brachyurus,-46.5999966027,-19.1507198332
Chrysocyon brachyurus,-43.6281588708,-17.9839994937
Chrysocyon brachyurus,-50.4078780246,-24.8529526512
Chrysocyon brachyurus,-49.3049499386,-22.9161908862
Chrysocyon brachyurus,-45.651467333,-19.2099201056
Chrysocyon brachyurus,-59.9244809205,-30.5414175041
Chrysocyon brachyurus,-51.6076606025,-17.9269800093
Chrysocyon brachyurus,-58.8818361031,-22.4205212241
Chrysocyon brachyurus,-59.5332465687,-32.875340216
Chrysocyon brachyurus,-61.1852795481,-28.928391823
Chrysocyon brachyurus,-60.3888350375,-30.9409742428
Chrysocyon brachyurus,-49.8881969059,-25.2378874502
Chrysocyon brachyurus,-49.7320816779,-24.0917659932
Chrysocyon brachyurus,-47.5611110959,-15.061557297
Chrysocyon brachyurus,-58.9129655778,-27.4706910574
Chrysocyon brachyurus,-61.1146688962,-30.0662730848
Chrysocyon brachyurus,-59.3869177554,-30.5287449961
Chrysocyon brachyurus,-47.1748717512,-22.9537598479
Chrysocyon brachyurus,-46.6595772369,-10.4601903259
Chrysocyon brachyurus,-47.6266158955,-15.9666223004
Chrysocyon brachyurus,-51.7980728479,-26.5496408893
Chrysocyon brachyurus,-60.0980481714,-30.0548991923
Chrysocyon brachyurus,-59.6363538838,-26.6991498882
Chrysocyon brachyurus,-59.9605281401,-28.3995366599
Chrysocyon brachyurus,-52.3896707695,-22.5432569743
Chrysocyon brachyurus,-55.3757976253,-21.1387196007
Chrysocyon brachyurus,-47.2751257971,-21.8426792879
Chrysocyon brachyurus,-60.9390192063,-14.6782424895
Chrysocyon brachyurus,-60.4826229182,-13.9267019872
Chrysocyon brachyurus,-61.096169188,-30.5993426604
Chrysocyon brachyurus,-59.5065969896,-29.0918801123
Chrysocyon brachyurus,-43.3345159811,-22.902079909
Chrysocyon brachyurus,-55.652505729,-16.6967807594
Chrysocyon brachyurus,-43.4253130709,-20.1176378607
Chrysocyon brachyurus,-47.8682077878,-14.1745539893
Chrysocyon brachyurus,-51.1854714451,-15.7303392637
Chrysocyon brachyurus,-56.1255882177,-15.6712085713
Chrysocyon brachyurus,-44.6473464029,-22.7983678835
Chrysocyon brachyurus,-47.9731710135,-15.6347474732
Chrysocyon brachyurus,-43.2882944529,-22.2883910996
Chrysocyon brachyurus,-54.1235742525,-25.9330411527
Chrysocyon brachyurus,-52.3367545654,-13.0426316999
Chrysocyon brachyurus,-44.72466131,-22.3469262109
Chrysocyon brachyurus,-56.5681292451,-21.1632977844
Chrysocyon brachyurus,-57.509075709,-28.996776396
