species,longitude,latitude
Chrysocyon brachyurus,-61.051526,-32.201285
Chrysocyon brachyurus,-43.628159,-17.983999
Chrysocyon brachyurus,-47.509019,-22.525994
Chrysocyon brachyurus,-46.934391,-21.306569
Chrysocyon brachyurus,-60.350108,-30.200162
Chrysocyon brachyurus,-46.539946,-20.382042
Chrysocyon brachyurus,-59.166579,-22.349986
Chrysocyon brachyurus,-60.95874,-31.772329
Chrysocyon brachyurus,-49.888197,-25.237887
Chrysocyon brachyurus,-60.482376,-31.136581
Chrysocyon brachyurus,-57.361271,-28.703276
Chrysocyon brachyurus,-47.832501,-15.943353
Chrysocyon brachyurus,-59.773029,-26.741149
Chrysocyon brachyurus,-59.749245,-30.635408
Chrysocyon brachyurus,-61.096169,-30.599343
Chrysocyon brachyurus,-47.571222,-22.316562
Chrysocyon brachyurus,-60.531762,-31.757971
Chrysocyon brachyurus,-59.533247,-32.87534
Chrysocyon brachyurus,-52.389671,-22.543257
Chrysocyon brachyurus,-44.647346,-22.798368
Chrysocyon brachyurus,-51.185471,-15.730339
Chrysocyon brachyurus,-43.006098,-19.824128
Chrysocyon brachyurus,-55.625348,-15.562464
Chrysocyon brachyurus,-46.788754,-20.294263
Chrysocyon brachyurus,-56.132034,-19.471841
Chrysocyon brachyurus,-45.322208,-9.974261
Chrysocyon brachyurus,-53.758523,-32.140607
Chrysocyon brachyurus,-48.1734241389839,-21.7428916503512
Chrysocyon brachyurus,-56.261348,-18.816034
Chrysocyon brachyurus,-56.280784,-20.19346
Chrysocyon brachyurus,-58.21987,-25.12617
Chrysocyon brachyurus,-61.56414,-31.83512
Chrysocyon brachyurus,-56.39067,-28.83864
Chrysocyon brachyurus,-58.13357,-28.04721
Chrysocyon brachyurus,-61.25236,-30.31118
Chrysocyon brachyurus,-56.620387,-20.10369
Chrysocyon brachyurus,-59.24465,-27.73998
Chrysocyon brachyurus,-61.3214,-31.05344
Chrysocyon brachyurus,-61.67999,-28.78406
Chrysocyon brachyurus,-53.122183,-18.120062
Chrysocyon brachyurus,-45.762356,-14.868054
Chrysocyon brachyurus,-59.7518,-29.50276
Chrysocyon brachyurus,-57.97771,-25.14311
Chrysocyon brachyurus,-43.4373,-20.015416
Chrysocyon brachyurus,-60.8,-28.25
Chrysocyon brachyurus,-47.639722,-22.72
Chrysocyon brachyurus,-68.913,-12.955
Chrysocyon brachyurus,-66.733,-10.767
Chrysocyon brachyurus,-42.942778,-21.120278
Chrysocyon brachyurus,-43.8164733708,-21.7893308669
Chrysocyon brachyurus,-61.3762492657,-31.2514731276
Chrysocyon brachyurus,-60.8493957525,-31.3732926473
Chrysocyon brachyurus,-62.904255893,-30.8645830268
Chrysocyon brachyurus,-48.0559214032,-21.1067048088
Chrysocyon brachyurus,-56.9215356107,-12.7064031132
Chrysocyon brachyurus,-60.89574585,-29.3888250011
Chrysocyon brachyurus,-60.2137225195,-30.0117202783
Chrysocyon brachyurus,-59.4087373543,-25.0637121107
Chrysocyon brachyurus,-46.9355385003,-21.5231996299
Chrysocyon brachyurus,-62.6414108006,-32.8671853366
Chrysocyon brachyurus,-53.7561005832,-16.9257660513
Chrysocyon brachyurus,-46.5999966027,-19.1507198332
Chrysocyon brachyurus,-60.8054707325,-31.6193911149
Chrysocyon brachyurus,-47.8590495776,-19.3998861687
Chrysocyon brachyurus,-50.4078780246,-24.8529526512
Chrysocyon brachyurus,-49.3049499386,-22.9161908862
Chrysocyon brachyurus,-45.651467333,-19.2099201056
Chrysocyon brachyurus,-59.0723123429,-22.5612431237
Chrysocyon brachyurus,-42.991811162,-21.9835071109
Chrysocyon brachyurus,-45.2361083833,-10.1585152656
Chrysocyon brachyurus,-49.3236122549,-24.1496989312
Chrysocyon brachyurus,-51.6076606025,-17.9269800093
Chrysocyon brachyurus,-58.8818361031,-22.4205212241
Chrysocyon brachyurus,-60.691272197,-28.7586656811
Chrysocyon brachyurus,-59.1146162697,-31.9425517062
Chrysocyon brachyurus,-61.1852795481,-28.928391823
Chrysocyon brachyurus,-60.3888350375,-30.9409742428
Chrysocyon brachyurus,-47.5611110959,-15.061557297
Chrysocyon brachyurus,-49.0824170777,-16.2310288694
Chrysocyon brachyurus,-58.9129655778,-27.4706910574
